,0.001,0.013250000000000001,0.025500000000000002,0.037750000000000006,0.05
0,0.875,0.825,0.9,0.85,0.875
1,0.775,0.8,0.9,0.8,0.8
2,0.875,0.85,0.85,0.875,0.875
3,0.85,0.9,0.825,0.825,0.8
4,0.85,0.85,0.8,0.875,0.825
5,0.8,0.825,0.85,0.875,0.75
6,0.825,0.875,0.9,0.775,0.925
7,0.85,0.775,0.9,0.8,0.85
8,0.875,0.825,0.85,0.825,0.875
9,0.925,0.875,0.825,0.9,0.875
10,0.9,0.8,0.8,0.825,0.825
11,0.85,0.825,0.85,0.825,0.875
12,0.8,0.825,0.85,0.925,0.875
13,0.825,0.85,0.75,0.775,0.9
14,0.925,0.9,0.75,0.875,0.8
15,0.9,0.825,0.85,0.925,0.975
16,0.875,0.9,0.875,0.825,0.825
17,0.8,0.8,0.825,0.85,0.875
18,0.85,0.875,0.8,0.875,0.825
19,0.825,0.8,0.75,0.75,0.8
20,0.9,0.9,0.775,0.725,0.825
21,0.825,0.775,0.85,0.9,0.875
22,0.925,0.875,0.775,0.825,0.825
23,0.9,0.85,0.85,0.825,0.85
24,0.825,0.8,0.875,0.95,0.85
25,0.9,0.8,0.85,0.825,0.8
26,0.9,0.85,0.8,0.85,0.875
27,0.775,0.875,0.8,0.8,0.9
28,0.85,0.85,0.9,0.825,0.95
29,0.875,0.85,0.85,0.875,0.825
30,0.925,0.9,0.8,0.9,0.875
31,0.825,0.775,0.8,0.875,0.875
32,0.85,0.85,0.825,0.875,0.875
33,0.875,0.95,0.875,0.775,0.775
34,0.875,0.825,0.85,0.95,0.9
35,0.85,0.875,0.9,0.85,0.85
36,0.875,0.9,0.725,0.875,0.8
37,0.85,0.825,0.9,0.725,0.9
38,0.925,0.875,0.85,0.9,0.725
39,0.85,0.875,0.925,0.9,0.925
40,0.85,0.8,0.9,0.85,0.85
41,0.825,0.875,0.825,0.8,0.85
42,0.9,0.85,0.825,0.875,0.85
43,0.825,0.925,0.825,0.825,0.775
44,0.875,0.85,0.9,0.9,0.8
45,0.95,0.875,0.925,0.9,0.75
46,0.85,0.75,0.8,0.825,0.775
47,0.875,0.9,0.8,0.8,0.925
48,0.85,0.9,0.85,0.875,0.9
49,0.825,0.9,0.925,0.8,0.825
50,0.9,0.95,0.8,0.825,0.875
51,0.875,0.875,0.825,0.9,0.925
52,0.85,0.9,0.875,0.85,0.9
53,0.875,0.85,0.8,0.875,0.875
54,0.8,0.85,0.95,0.9,0.825
55,0.9,0.825,0.8,0.85,0.85
56,0.875,0.825,0.85,0.925,0.9
57,0.825,0.825,0.9,0.875,0.9
58,0.825,0.975,0.925,0.875,0.875
59,0.975,0.875,0.825,0.9,0.8
60,0.9,0.875,0.95,0.8,0.825
61,0.875,0.85,0.875,0.825,0.9
62,0.875,0.875,0.825,0.8,0.825
63,0.775,0.75,0.875,0.925,0.9
64,0.9,0.85,0.875,0.9,0.825
65,0.875,0.8,0.85,0.95,0.85
66,0.85,0.85,0.95,0.8,0.825
67,0.875,0.9,0.85,0.875,0.9
68,0.775,0.875,0.85,0.8,0.85
69,0.875,0.85,0.775,0.9,0.85
70,0.85,0.825,0.85,0.975,0.85
71,0.85,0.875,0.875,0.825,0.875
72,0.8,0.725,0.85,0.775,0.825
73,0.9,0.85,0.85,0.875,0.825
74,0.825,0.9,0.9,0.85,0.925
75,0.85,0.825,0.825,0.9,0.75
76,0.825,0.85,0.825,0.825,0.85
77,0.8,0.9,0.85,0.85,0.8
78,0.9,0.8,0.875,0.8,0.75
79,0.825,0.875,0.875,0.975,0.875
80,0.775,0.775,0.925,0.85,0.8
81,0.9,0.925,0.85,0.9,0.725
82,0.85,0.925,0.85,0.875,0.85
83,0.9,0.875,0.875,0.7,0.85
84,0.9,0.875,0.875,0.775,0.9
85,0.875,0.775,0.85,0.85,0.8
86,0.8,0.95,0.85,0.8,0.875
87,0.85,0.875,0.8,0.875,0.775
88,0.9,0.85,0.925,0.775,0.85
89,0.85,0.9,0.925,0.95,0.85
90,0.825,0.925,0.85,0.925,0.875
91,0.925,0.9,0.75,0.8,0.9
92,0.8,0.8,0.925,0.75,0.85
93,0.825,0.8,0.875,0.775,0.85
94,0.9,0.875,0.8,0.8,0.9
95,0.775,0.85,0.775,0.85,0.95
96,0.85,0.775,0.85,0.875,0.825
97,0.925,0.9,0.85,0.9,0.85
98,0.875,0.85,0.825,0.775,0.925
99,0.675,0.775,0.85,0.925,0.825
100,0.85,0.8,0.825,0.9,0.825
101,0.925,0.85,0.925,0.825,0.8
102,0.75,0.85,0.775,0.875,0.825
103,0.9,0.875,0.8,0.9,0.75
104,0.8,0.8,0.95,0.8,0.9
105,0.875,0.85,0.85,0.9,0.8
106,0.825,0.825,0.825,0.85,0.8
107,0.75,0.775,0.825,0.95,0.875
108,0.85,0.9,0.8,0.825,0.8
109,0.85,0.825,0.85,0.85,0.85
110,0.85,0.925,0.875,0.95,0.825
111,0.725,0.775,0.7,0.875,0.825
112,0.85,0.85,0.85,0.9,0.875
113,0.95,0.85,0.8,0.8,0.85
114,0.9,0.9,0.85,0.825,0.8
115,0.825,0.9,0.9,0.925,0.825
116,0.9,0.75,0.875,0.7,0.875
117,0.875,0.85,0.875,0.875,0.875
118,0.85,0.8,0.75,0.975,0.7
119,0.8,0.875,0.825,0.85,0.875
120,0.85,0.825,0.775,0.925,0.8
121,0.85,0.825,0.925,0.675,0.925
122,0.875,0.875,0.75,0.925,0.875
123,0.775,0.9,0.85,0.875,0.75
124,0.875,0.85,0.85,0.85,0.925
125,0.85,0.85,0.85,0.85,0.925
126,0.8,0.8,0.925,0.85,0.825
127,0.875,0.85,0.875,0.95,0.8
128,0.9,0.85,0.9,0.85,0.825
129,0.875,0.85,0.775,0.8,0.825
130,0.85,0.875,0.825,0.9,0.825
131,0.9,0.875,0.875,0.95,0.775
132,0.825,0.8,0.825,0.9,0.925
133,0.9,0.85,0.875,0.825,0.85
134,0.775,0.85,0.875,0.85,0.85
